BLOCK,DISTRICT,State_Name,year,month,RF_average,GWL_average,fid,fclayey_sum,sandy_sum,clayskeletal_sum,floamy_sum,sand_pct,floamy_pct,f_clayey_pct,t2m_value,tp_value,swvl1_value,swvl2_value,sro_value,ssro_value,e_value,pev_value
Anup Shahar,Bulandshahar,UP,2024.0,2.0,0.0,-12.013731332795697,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anup Shahar,Bulandshahar,UP,2024.0,3.0,0.0,-12.00187917846774,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anup Shahar,Bulandshahar,UP,2024.0,4.0,0.0,-11.985933480416666,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anup Shahar,Bulandshahar,UP,2024.0,5.0,0.0,-12.001919502016127,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anup Shahar,Bulandshahar,UP,2024.0,6.0,0.0,-11.998000146666666,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anup Shahar,Bulandshahar,UP,2024.0,7.0,0.0,-12.095984030403224,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anup Shahar,Bulandshahar,UP,2024.0,8.0,0.0,-12.47908879717742,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anup Shahar,Bulandshahar,UP,2024.0,9.0,0.0,-12.288108427333333,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anup Shahar,Bulandshahar,UP,2024.0,10.0,0.0,-12.728854841693549,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anup Shahar,Bulandshahar,UP,2024.0,11.0,0.0,-12.764174993416667,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anup Shahar,Bulandshahar,UP,2024.0,12.0,0.0,-12.81090326451613,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anup Shahar,Bulandshahar,UP,2025.0,1.0,0.0,-12.8377499575,14,1497,5505,0,58204.0,0.0022004111368873,0.0232648010556564,0.0005983679331372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
